iter	Passed	Remaining
669	1713	1163
670	1717	1161
671	1719	1159
672	1722	1156
673	1724	1153
674	1726	1151
675	1729	1148
676	1732	1146
677	1734	1143
678	1737	1141
679	1739	1138
680	1742	1135
681	1744	1133
682	1747	1130
683	1750	1128
684	1752	1125
685	1754	1123
686	1757	1120
687	1759	1117
688	1762	1115
689	1765	1112
690	1767	1110
691	1770	1107
692	1772	1105
693	1775	1102
694	1777	1099
695	1780	1097
696	1783	1095
697	1786	1092
698	1789	1090
699	1792	1088
700	1794	1085
701	1797	1083
702	1800	1080
703	1802	1077
704	1805	1075
705	1807	1072
706	1810	1070
707	1813	1068
708	1816	1065
709	1818	1063
710	1821	1060
711	1823	1057
712	1826	1055
713	1829	1052
714	1831	1050
715	1834	1047
716	1837	1045
717	1839	1042
718	1842	1040
719	1845	1037
720	1847	1035
721	1850	1032
722	1852	1030
723	1855	1027
724	1857	1024
725	1860	1022
726	1863	1019
727	1865	1017
728	1868	1014
729	1870	1012
730	1873	1009
731	1876	1007
732	1878	1004
733	1881	1002
734	1883	999
735	1886	996
736	1888	994
737	1891	991
738	1894	989
739	1896	986
740	1899	984
741	1902	981
742	1904	979
743	1906	976
744	1909	973
745	1911	971
746	1914	968
747	1916	966
748	1919	963
749	1921	960
750	1924	958
751	1927	955
752	1929	953
753	1932	950
754	1934	948
755	1937	945
756	1940	943
757	1943	940
758	1945	938
759	1948	935
760	1950	932
761	1953	930
762	1955	927
763	1958	925
764	1960	922
765	1963	920
766	1965	917
767	1968	915
768	1971	912
769	1974	910
770	1976	907
771	1979	905
772	1981	902
773	1984	899
774	1986	897
775	1989	894
776	1991	892
777	1994	889
778	1996	886
779	1999	884
780	2001	881
781	2004	879
782	2007	876
783	2009	874
784	2012	871
785	2014	868
786	2017	866
787	2019	863
788	2022	861
789	2025	858
790	2027	856
791	2030	853
792	2032	851
793	2035	848
794	2045	849
795	2048	846
796	2050	843
797	2053	841
798	2056	838
799	2058	836
800	2061	833
801	2063	831
802	2066	828
803	2068	826
804	2072	823
805	2074	821
806	2077	818
807	2079	815
808	2082	813
809	2084	810
810	2087	808
811	2089	805
812	2092	802
813	2094	800
814	2097	797
815	2099	795
816	2102	792
817	2105	790
818	2107	787
819	2110	784
820	2112	782
821	2115	779
822	2117	777
823	2120	774
824	2123	772
825	2125	769
826	2127	766
827	2130	764
828	2132	761
829	2135	759
830	2138	756
831	2140	753
832	2143	751
833	2145	748
834	2148	746
835	2151	743
836	2154	741
837	2157	738
838	2159	736
839	2162	733
840	2164	731
841	2167	728
842	2170	726
843	2172	723
844	2175	720
845	2178	718
846	2180	715
847	2183	713
848	2186	710
849	2189	708
850	2191	705
851	2195	703
852	2197	700
853	2200	698
854	2203	695
855	2205	693
856	2208	690
857	2211	688
858	2213	685
